sku,cod_sankhya,titulo_bruto,status,cor,classificacao,colecao
CAX016PP,68366,CAMISA ARMORX BRK FISHING BRANCA MARMORIZADA COM PROTECAO UV50+ - TAMANHO:PP,enriched,SEM_COR,Camisas,Armorx
CAX016P,68367,CAMISA ARMORX BRK FISHING BRANCA MARMORIZADA COM PROTECAO UV50+ - TAMANHO:P,enriched,SEM_COR,Camisas,Armorx
CAX016M,68368,CAMISA ARMORX BRK FISHING BRANCA MARMORIZADA COM PROTECAO UV50+ - TAMANHO:M,enriched,SEM_COR,Camisas,Armorx
CAX016G,68369,CAMISA ARMORX BRK FISHING BRANCA MARMORIZADA COM PROTECAO UV50+ - TAMANHO:G,enriched,SEM_COR,Camisas,Armorx
CAX016GG,68370,CAMISA ARMORX BRK FISHING BRANCA MARMORIZADA COM PROTECAO UV50+ - TAMANHO:GG,enriched,SEM_COR,Camisas,Armorx
CAX012BLPP,68317,CAMISA ARMORX FEMININA BRK FISHING VERDE E AMARELO COM PROTECAO UV50+ - TAMANHO:PP,enriched,SEM_COR,Camisas,Armorx
CAX012BLP,68318,CAMISA ARMORX FEMININA BRK FISHING VERDE E AMARELO COM PROTECAO UV50+ - TAMANHO:P,enriched,SEM_COR,Camisas,Armorx
CAX012BLM,68319,CAMISA ARMORX FEMININA BRK FISHING VERDE E AMARELO COM PROTECAO UV50+ - TAMANHO:M,enriched,SEM_COR,Camisas,Armorx
CAX012BLG,68320,CAMISA ARMORX FEMININA BRK FISHING VERDE E AMARELO COM PROTECAO UV50+ - TAMANHO:G,enriched,SEM_COR,Camisas,Armorx
CAX012BLGG,68321,CAMISA ARMORX FEMININA BRK FISHING VERDE E AMARELO COM PROTECAO UV50+ - TAMANHO:GG,enriched,SEM_COR,Camisas,Armorx
CAX012BLG1,68322,CAMISA ARMORX FEMININA BRK FISHING VERDE E AMARELO COM PROTECAO UV50+ - TAMANHO:G1,enriched,SEM_COR,Camisas,Armorx
CAX012BLG2,68323,CAMISA ARMORX FEMININA BRK FISHING VERDE E AMARELO COM PROTECAO UV50+ - TAMANHO:G2,enriched,SEM_COR,Camisas,Armorx
CAX013PP,68324,CAMISA ARMORX BRK FISHING DEGRADE VERDE ESMERALDA COM PROTECAO UV50+ - TAMANHO:PP,enriched,SEM_COR,Camisas,Armorx
CAX013P,68325,CAMISA ARMORX BRK FISHING DEGRADE VERDE ESMERALDA COM PROTECAO UV50+ - TAMANHO:P,enriched,SEM_COR,Camisas,Armorx
CAX013M,68326,CAMISA ARMORX BRK FISHING DEGRADE VERDE ESMERALDA COM PROTECAO UV50+ - TAMANHO:M,enriched,SEM_COR,Camisas,Armorx
CAX013G,68327,CAMISA ARMORX BRK FISHING DEGRADE VERDE ESMERALDA COM PROTECAO UV50+ - TAMANHO:G,enriched,SEM_COR,Camisas,Armorx
CAX013GG,68328,CAMISA ARMORX BRK FISHING DEGRADE VERDE ESMERALDA COM PROTECAO UV50+ - TAMANHO:GG,enriched,SEM_COR,Camisas,Armorx
CAX013G1,68329,CAMISA ARMORX BRK FISHING DEGRADE VERDE ESMERALDA COM PROTECAO UV50+ - TAMANHO:G1,enriched,SEM_COR,Camisas,Armorx
CAX013G2,68330,CAMISA ARMORX BRK FISHING DEGRADE VERDE ESMERALDA COM PROTECAO UV50+ - TAMANHO:G2,enriched,SEM_COR,Camisas,Armorx
CAX013BLPP,68331,CAMISA ARMORX FEMININA BRK FISHING DEGRADE VERDE ESMERALDA COM PROTECAO UV50+ - TAMANHO:PP,enriched,SEM_COR,Camisas,Armorx
CAX013BLP,68332,CAMISA ARMORX FEMININA BRK FISHING DEGRADE VERDE ESMERALDA COM PROTECAO UV50+ - TAMANHO:P,enriched,SEM_COR,Camisas,Armorx
CAX013BLM,68333,CAMISA ARMORX FEMININA BRK FISHING DEGRADE VERDE ESMERALDA COM PROTECAO UV50+ - TAMANHO:M,enriched,SEM_COR,Camisas,Armorx
CAX013BLG,68334,CAMISA ARMORX FEMININA BRK FISHING DEGRADE VERDE ESMERALDA COM PROTECAO UV50+ - TAMANHO:G,enriched,SEM_COR,Camisas,Armorx
CAX013BLGG,68335,CAMISA ARMORX FEMININA BRK FISHING DEGRADE VERDE ESMERALDA COM PROTECAO UV50+ - TAMANHO:GG,enriched,SEM_COR,Camisas,Armorx
CAX013BLG1,68336,CAMISA ARMORX FEMININA BRK FISHING DEGRADE VERDE ESMERALDA COM PROTECAO UV50+ - TAMANHO:G1,enriched,SEM_COR,Camisas,Armorx
