sku,titulo_bruto,status
7908137912018,ANZOL 4330 MARINE SPORTS NICKEL - QUANTIDADE:10,scraped
7908137912025,ANZOL 4330 MARINE SPORTS NICKEL - QUANTIDADE:10,scraped
7908137912032,ANZOL 4330 MARINE SPORTS NICKEL - QUANTIDADE:10,scraped
7898480924328,ANZOL 4330 MARINE SPORTS NICKEL - QUANTIDADE:10,scraped
7908137912001,ANZOL 4330 MARINE SPORTS NICKEL - QUANTIDADE:10,scraped
7898480924304,ANZOL 4330 MARINE SPORTS NICKEL - QUANTIDADE:20,scraped
7898480924311,ANZOL 4330 MARINE SPORTS NICKEL - QUANTIDADE:20,scraped
7898480924267,ANZOL 4330 MARINE SPORTS NICKEL - QUANTIDADE:50,scraped
CAF04,"ISCA ARTIFICIAL SOFT ALBATROZ CRIATURA AF (10,5CM) 5 UND - CORES: 04",erro: SKU não encontrado na API
GRUB70_051,ISCA ARTIFICIAL DOUBLE TAIL ALBATROZ FISHING SOFT GRUB 70MM 15UND - CORES:ISCA GRUB 70MM 051 C/15PCS,erro: SKU não encontrado na API
7908137907694,FACA MARINE SPORTS FILLET KINIFE MFK75T 19CM,erro: SKU não encontrado na API
7898480922812,GIRADOR BSS NICKEL | 1 CAIXA COM 50 UNIDADES - ESCOLHA O TAMANHO - TAMANHOS:5 (50 UNIDADES),erro: SKU não encontrado na API
GIRA04,GIRADOR COM SNAP NIQUELADO DE PESCA ALBATROZ - TAMANHO:04,scraped
GIRA10,GIRADOR COM SNAP NIQUELADO DE PESCA ALBATROZ - TAMANHO:10,scraped
7898480954202,"LINHA MARINE SPORTS ACTION POWER PLUS 400MTS - ESCOLHA O TAMANHO - MODELO:0,90MM 101LB 300M",erro: SKU não encontrado na API
